freq	S(1,1)
1.00000000000000000E9	9.19684869852995135E-1 / 1.53298836300709551E2
1.10000000000000009E9	8.66391290127571523E-1 / 1.48482701603408507E2
1.19999999999999996E9	7.88119940952920928E-1 / 1.43572510053892266E2
1.30000000000000004E9	6.83944785652347154E-1 / 1.39520664241211323E2
1.39999999999999991E9	5.63850681254261943E-1 / 1.38133437392074154E2
1.50000000000000000E9	4.51450125401133029E-1 / 1.41955126105030827E2
1.60000000000000009E9	3.76923132534304317E-1 / 1.52504294989565459E2
1.69999999999999996E9	3.57260413355763440E-1 / 1.66487243568491072E2
1.80000000000000004E9	3.80140598287492981E-1 / 1.77805460618276578E2
1.89999999999999991E9	4.21159968249517469E-1 / -1.75429269822627631E2
2.00000000000000000E9	4.64721832162409232E-1 / -1.71939130955849850E2
2.10000000000000009E9	5.04611044543454135E-1 / -1.70324233224081523E2
2.20000000000000018E9	5.39196752356146281E-1 / -1.69724612718380752E2
2.29999999999999982E9	5.68585480877808269E-1 / -1.69670911554902726E2
2.39999999999999991E9	5.93421240164227459E-1 / -1.69910576837542138E2
2.50000000000000000E9	6.14434670485809686E-1 / -1.70305821678944502E2
2.60000000000000009E9	6.32290864778140094E-1 / -1.70780045711900041E2
2.70000000000000018E9	6.47550569462795345E-1 / -1.71289998897422890E2
2.79999999999999982E9	6.60671915037959323E-1 / -1.71811060492333878E2
2.89999999999999991E9	6.72024577060356787E-1 / -1.72329252097810648E2
3.00000000000000000E9	6.81905896103712639E-1 / -1.72836788602336422E2
3.10000000000000009E9	6.90555399592485042E-1 / -1.73329538451479159E2
3.20000000000000018E9	6.98166828366703296E-1 / -1.73805542189535833E2
3.29999999999999982E9	7.04897735535645165E-1 / -1.74264132335678679E2
3.39999999999999991E9	7.10877021040880308E-1 / -1.74705402720580549E2
3.50000000000000000E9	7.16210807286345741E-1 / -1.75129884989618034E2
3.60000000000000009E9	7.20987016305105044E-1 / -1.75538350056488701E2
3.70000000000000018E9	7.25278942845839403E-1 / -1.75931686028783174E2
3.79999999999999982E9	7.29148054530052470E-1 / -1.76310823496815350E2
3.89999999999999991E9	7.32646197146338629E-1 / -1.76676690424850813E2
4.00000000000000000E9	7.35817341057825658E-1 / -1.77030185655200256E2
4.09999999999999964E9	7.38698972249674934E-1 / -1.77372164143670052E2
4.20000000000000018E9	7.41323206873658869E-1 / -1.77703429574437766E2
4.29999999999999982E9	7.43717689508258584E-1 / -1.78024731580783646E2
4.40000000000000036E9	7.45906321295685970E-1 / -1.78336765794460561E2
4.50000000000000000E9	7.47909853505048705E-1 / -1.78640175581784755E2
4.59999999999999964E9	7.49746374037606333E-1 / -1.78935554733045410E2
